unix,open,high,low,close,volume_btc,volume_usd
1682895600000,29395.58,29439.87,29209.77,29241.04,7.93864357,232134.1942
1682892000000,29422.08,29444.2,29388.82,29395.58,1.69522647,49832.16532
1682888400000,29346.61,29498.42,29346.61,29422.08,10.02652495,295001.2192
1682884800000,29380.07,29382.89,29191.49,29346.61,9.45106638,277356.7591
1682881200000,29605.05,29612.74,29256.27,29380.07,25.22633665,741151.5366
1682877600000,29669.7,29684.59,29526.44,29605.05,9.77614442,289423.2444
1682874000000,29743.42,29820.5,29669.7,29669.7,13.18529292,391203.6853
1682870400000,29688.45,29880.12,29651.36,29743.42,7.37719201,219422.9204
1682866800000,29410.41,29956.39,29410.41,29688.45,49.12369678,1458406.416
1682863200000,29326.3,29450.0,29283.87,29410.41,38.14872109,1121969.528
1682859600000,29251.34,29332.23,29251.34,29326.3,23.34370555,684584.5121
1682856000000,29211.55,29273.7,29206.69,29251.34,6.42883317,188051.9849
1682852400000,29237.71,29261.92,29191.49,29211.55,0.64621606,18876.97275
1682848800000,29278.62,29340.94,29224.67,29237.71,1.1506819,33643.30369
1682845200000,29288.64,29291.16,29256.3,29278.62,0.11772591,3446.852183
1682841600000,29286.29,29353.7,29265.44,29288.64,0.85159175,24941.96419
1682838000000,29292.44,29323.43,29286.29,29286.29,3.63321269,106403.3205
1682834400000,29276.51,29299.0,29257.87,29292.44,0.22543223,6603.460071
1682830800000,29225.32,29282.83,29225.32,29276.51,2.74808006,80454.19336
1682827200000,29188.64,29234.9,29188.64,29225.32,0.80018712,23385.72464
1682823600000,29198.8,29216.33,29169.32,29188.64,2.60780385,76118.24777
1682820000000,29126.0,29206.29,29120.8,29198.8,4.37114209,127632.1037
1682816400000,29149.2,29201.55,29125.0,29126.0,62.4870061,1819996.54
1682812800000,29247.28,29251.94,29149.2,29149.2,0.91263415,26602.55537
1682809200000,29235.34,29257.47,29160.91,29247.28,5.29795597,154950.8017
1682805600000,29242.29,29259.03,29200.0,29235.34,2.64911824,77447.87245
1682802000000,29247.72,29273.22,29200.0,29242.29,2.10131723,61447.32782
1682798400000,29253.12,29288.77,29221.68,29247.72,15.87904812,464425.9533
1682794800000,29199.56,29330.95,29199.56,29253.12,8.43981383,246890.8867
1682791200000,29178.9,29223.89,29149.21,29199.56,3.40088245,99304.27115
1682787600000,29308.01,29313.76,29065.53,29178.9,19.76795306,576807.1255
1682784000000,29294.72,29332.21,29278.66,29308.01,2.00552514,58777.95086
1682780400000,29359.21,29370.23,29256.27,29294.72,4.86596172,142546.9861
1682776800000,29404.32,29415.9,29357.09,29359.21,1.23491823,36256.22365
1682773200000,29306.29,29423.52,29303.59,29404.32,5.2673969,154884.224
1682769600000,29335.0,29362.53,29306.29,29306.29,2.7250529,79861.19055
1682766000000,29291.42,29340.51,29273.01,29335.0,0.695387,20399.17765
1682762400000,29319.11,29333.9,29276.4,29291.42,4.00607489,117343.6222
1682758800000,29334.8,29346.34,29282.5,29319.11,0.72258867,21185.6567
1682755200000,29366.98,29384.56,29305.49,29334.8,0.77841679,22834.70085
1682751600000,29342.17,29395.2,29318.4,29366.98,0.35953028,10558.31854
1682748000000,29385.21,29400.39,29316.29,29342.17,2.32606176,68251.69959
1682744400000,29395.95,29446.05,29383.07,29385.21,0.7461765,21926.55315
1682740800000,29377.51,29460.0,29363.73,29395.95,2.53560774,74536.59834
1682737200000,29404.43,29417.24,29377.5,29377.51,0.90942135,26716.5348
1682733600000,29304.54,29411.61,29296.19,29404.43,3.86193643,113558.0394
1682730000000,29276.5,29332.23,29244.3,29304.54,11.53889255,338141.9383
1682726400000,29341.78,29378.0,29230.61,29276.5,14.76755518,432342.3292
1682722800000,29371.09,29416.93,29300.13,29341.78,3.46885425,101782.3583
1682719200000,29363.77,29447.13,29355.81,29371.09,10.6553289,312958.6241
1682715600000,29355.96,29399.8,29335.25,29363.77,3.90631939,114704.2641
1682712000000,29336.28,29409.0,29312.6,29355.96,9.23290919,271040.9129
1682708400000,29248.77,29480.5,29248.77,29336.28,19.84341953,582132.1115
